Municipality,Latitude,Longitude
Aalst,50.9383226,4.0392147
Aalter,51.083894,3.4485192
Aarlen,49.6834601,5.8167711
Aarschot,50.9842743,4.836429
Aartselaar,51.133297,4.3870241
Aat,50.6311349,3.7769485
Affligem,50.9035063,4.1174675
Aiseau-Presles,50.40250525,4.576278880500042
Alken,50.8754731,5.3079873
Alveringem,51.0150603,2.722044376111538
Amay,50.5497761,5.3240992
Amel,50.3543055,6.1705559
Andenne,50.4893981,5.0965468
Anderlecht,50.8390983,4.3296526
Anderlues,50.40386325,4.2643042241236095
Anhée,50.3101511,4.8776042
Ans,50.6679862,5.5077543
Anthisnes,50.481662,5.5225261
Antoing,50.55759965,3.46606718225254
Antwerpen,51.2211097,4.3997081
Anzegem,50.8325437,3.478405
Ardooie,50.9797876,3.1974259
Arendonk,51.3202315,5.0864557
As,51.0063339,5.5831347
Asse,50.9094333,4.2015646
Assenede,51.2275942,3.7532864
Assesse,50.3718261,5.0217639
Attert,49.7514982,5.7872217
Aubange,49.5671953,5.8044993
Aubel,50.7041498,5.8585553
Avelgem,50.777506349999996,3.449666230130913
Awans,50.6670346,5.4622239
Aywaille,50.4758998,5.6763249
Baarle-Hertog,51.4383589,4.9316995
Baelen,50.6312854,5.9713469
Balen,51.1707551,5.1696859
Bastenaken,50.0023102,5.7173386
Beaumont,50.2355294,4.2383115
Beauraing,50.09144155,4.964032044125693
Beernem,51.127743949999996,3.3145415994965424
Beerse,51.313767,4.837489611257391
Beersel,50.747841199999996,4.30652710740871
Begijnendijk,51.0194098,4.782145
Bekkevoort,50.9439676,4.9744569
Beloeil,50.531288200000006,3.6880111096489694
Bergen,50.4549568,3.951958
Beringen,51.0489641,5.2266869
Berlaar,51.1179047,4.6575109
Berlare,51.0251576,4.0034747
Berloz,50.6978415,5.2140163
Bernissart,50.4785984,3.691426003709652
Bertem,50.8547691,4.595525525751767
Bertogne,50.0843345,5.6676137
Bertrix,49.8546564,5.2529266
Bevekom,50.7808981,4.7717304
Bever,50.7164481,3.943147
Beveren,51.212611,4.2577808
Beyne-Heusay,50.6220566,5.6534141
Bierbeek,50.8278113,4.754358
Bièvre,49.9411216,5.0168496
Bilzen,50.8707787,5.5181089
Binche,50.398087950000004,4.183029985186801
Bitsingen,50.7583596,5.6094772
Blankenberge,51.3112589,3.1323429
Blegny,50.6727185,5.7252372
Bocholt,51.172979,5.577577
Boechout,51.1597261,4.509867483882227
Bonheiden,51.0253242,4.5483885
Boom,51.0873789,4.3667216
Boortmeerbeek,50.9815937,4.5729262
Borgloon,50.8024529,5.3435704
Borgworm,50.6976875,5.2546191
Bornem,51.0953014,4.2341308
Borsbeek,51.1928907,4.488953
Bouillon,49.7949836,5.0672528
Boussu,50.4274741,3.794268603515805
Boutersem,50.847346099999996,4.83361780525583
Braives,50.6300711,5.1435257
Brakel,50.7975785,3.7487880219617447
Brasschaat,51.2900693,4.4917295
Brecht,51.3484804,4.6398673
Bredene,51.23894075,2.9724492877781263
Bree,51.1417984,5.5985009
Brugelette,50.6016956,3.8647978539522874
Brugge,51.2085526,3.226772
Brunehaut,50.5292247,3.408214706996353
Brussel,50.8550018,4.3512333761166175
Buggenhout,51.011310050000006,4.192796388661321
Büllingen,50.4075533,6.257827
Burdinne,50.5812607,5.072436
Burg-Reuland,50.1967468,6.1342559
Bütgenbach,50.4267259,6.2053573
Celles,50.7125435,3.4571664
Cerfontaine,50.1689705,4.4125744
Chapelle-lez-Herlaimont,50.4713117,4.280504
Charleroi,50.4116233,4.444528
Chastre,50.6082727,4.6385565
Châtelet,50.4046075,4.5243511
Chaudfontaine,50.5847922,5.6469688
Chaumont-Gistoux,50.6839808,4.6974182
Chièvres,50.56999985,3.7793461759110007
Chimay,50.0358705,4.321416517933619
Chiny,49.7382516,5.3407019
Ciney,50.2964911,5.1008664
Clavier,50.4118897,5.3577364
Colfontaine,50.4056635,3.8513958
Comblain-au-Pont,50.4756986,5.5748498
Courcelles,50.4574699,4.376008
Court-Saint-Etienne,50.6443208,4.5685766
Couvin,50.0524906,4.4955009
Crisnée,50.715885,5.397318
Dalhem,50.7139302,5.7229816
Damme,51.2553021,3.2920911130761956
Daverdisse,50.0214939,5.1183374
De Haan,51.26711375,3.040837568315692
De Panne,51.0988314,2.5924087
De Pinte,50.9924205,3.6495958
Deerlijk,50.83940065,3.3627926635249863
Deinze,50.9840526,3.5274017
Denderleeuw,50.88813845,4.062511248890271
Dendermonde,51.0312293,4.098112
Dentergem,50.96616075,3.401986033802248
Dessel,51.2390765,5.1128221
Destelbergen,51.0378815,3.813466215009038
Diepenbeek,50.9078485,5.4200307
Diest,50.98456645,5.052873496255041
Diksmuide,51.03411425,2.8625853147266254
Dilbeek,50.84415525,4.26567484962928
Dilsen-Stokkem,51.0284779,5.7311405
Dinant,50.2591813,4.9130588
Dison,50.611374,5.854735
Doische,50.1357152,4.7458219
Donceel,50.6478971,5.3199408
Doornik,50.6056458,3.3878179
Dour,50.3963781,3.7786762
Drogenbos,50.786532,4.3173542
Duffel,51.0957176,4.5061988
Durbuy,50.3524116,5.456248
Ecaussinnes,50.56084485,4.170484531877113
Edegem,51.1548066,4.4458312
Edingen,50.69282045,4.038373024238238
Eeklo,51.1844827,3.5665965
Eghezée,50.591679,4.9065999
Eigenbrakel,50.6828722,4.3692706
Elsene,50.8331141,4.3668279
Elzele,50.7287148,3.6942082437481734
Engis,50.56261935,5.388190648822447
Erezée,50.2930558,5.5597642
Erpe-Mere,50.9226391,3.9459888
Erquelinnes,50.3030663,4.158430897938041
Esneux,50.533588,5.5686219
Essen,51.4679229,4.4698256
Estaimpuis,50.7038496,3.2652430753737467
Estinnes,50.380173299999996,4.1151389898772965
Etalle,49.6729527,5.5982415
Etterbeek,50.8361447,4.3861737
Eupen,50.6305665,6.0312717
Evere,50.8720096,4.4034182
Evergem,51.1187231,3.705820038711427
Faimes,50.6652169,5.2627409
Farciennes,50.432102099999994,4.546709543978205
Fauvillers,49.8509306,5.665031
Fernelmont,50.5542257,4.9973659
Ferrières,50.4127007,5.599880676106696
Fexhe-le-Haut-Clocher,50.6643107,5.3993831
Flémalle,50.5994478,5.4699616
Fléron,50.6168354,5.6832219
Fleurus,50.482944,4.549699
Floreffe,50.4366874,4.7600394
Florennes,50.2514227,4.6030187
Florenville,49.6993182,5.3100518
Fontaine-l'Evêque,50.4107021,4.3247583
Fosses-la-Ville,50.3959512,4.6978935
Frameries,50.4096511,3.8933015
Frasnes-lez-Anvaing,50.68025195,3.6229617518594277
Froidchapelle,50.16269465,4.326129024313543
Galmaarden,50.7527192,3.9709983
Ganshoren,50.8703273,4.307798
Gavere,50.9292335,3.6614192
Gedinne,49.9792667,4.9388966
Geel,51.1610826,4.9903187
Geer,50.6684881,5.1710529
Geetbets,50.8917946,5.1144682
Geldenaken,50.724179,4.8679997
Gembloux,50.5597273,4.6943126
Genepien,50.6108733,4.4510726
Genk,50.9654864,5.5001456
Gent,51.0538286,3.7250121
Geraardsbergen,50.7715779,3.8827287
Gerpinnes,50.346927449999995,4.527601444409136
Gesves,50.4028535,5.0776175
Gingelom,50.751534750000005,5.132409812775332
Gistel,51.1537869,2.9551335217807546
Glabbeek,50.872407,4.9512199
Gooik,50.797996749999996,4.101871727888091
Gouvy,50.1857409,5.9428
Grâce-Hollogne,50.6323039,5.4768436
Graven,50.7386182,4.6962324
Grimbergen,50.9457843,4.38909669976362
Grobbendonk,51.1919904,4.7385027
Haacht,50.9769474,4.6383121
Haaltert,50.887393349999996,3.9904300285117014
Habay,49.7356402,5.592928298869271
Halen,50.9479352,5.1142517
Halle,50.7360524,4.2374349
Ham,51.1054908,5.1609815
Hamme,51.0977642,4.1377229
Hamoir,50.4254063,5.5326084
Hamois,50.3408694,5.1594475
Hamont-Achel,51.2547636,5.5128696
Ham-sur-Heure-Nalinnes,50.32592795,4.414523504903954
Hannuit,50.6724649,5.0779916
Harelbeke,50.844609649999995,3.3093356109453165
Hasselt,50.9303735,5.3378043
Hastière,50.1969874,4.822430351418182
Havelange,50.3870946,5.23958
Hechtel-Eksel,51.1340192,5.3780119
Heers,50.747246849999996,5.304934039603534
Heist-op-den-Berg,51.0759905,4.7286753
Hélécine,50.7514034,4.9822395
Hemiksem,51.1430192,4.3409826
Hensies,50.4325979,3.6847564
Herbeumont,49.7815364,5.2377736
Herent,50.912473399999996,4.6517147625934285
Herentals,51.1765426,4.8362595
Herenthout,51.1392427,4.7543972
Herk-de-Stad,50.9406957,5.1659696
Herne,50.72329555,4.026011566349657
Héron,50.5508203,5.0971783
Herselt,51.05545425,4.901813504931004
Herstal,50.6650412,5.629981
Herstappe,50.7273829,5.4260923
Herve,50.63916,5.7931012
Herzele,50.86999175,3.898856383085506
Heusden-Zolder,51.0233485,5.2750485
Heuvelland,50.773569,2.8326917
Hoegaarden,50.787910249999996,4.880968285136069
Hoei,50.5180856,5.2408138
Hoeilaart,50.7674846,4.474407
Hoeselt,50.8500788,5.4865309
Holsbeek,50.9215896,4.7570606
Honnelles,50.352089,3.731019
Hooglede,50.9882777,3.0817609380997357
Hoogstraten,51.4012894,4.7616865
Horebeke,50.8348628,3.6920346
Hotton,50.2688011,5.4463304
Houffalize,50.1323761,5.7886928
Houthalen-Helchteren,51.0467933,5.3780416
Houthulst,50.97379615,2.9438311263817836
Houyet,50.1868629,5.0067044
Hove,51.1486117,4.477387
Huldenberg,50.7892736,4.5833958
Hulshout,51.0749541,4.796794688834951
Ichtegem,51.0925288,3.0102687
Ieper,50.8521947,2.8846047
Incourt,50.6918004,4.798944
Ingelmunster,50.92169095,3.263136702154667
Itter,50.6501961,4.2637077
Izegem,50.9137743,3.209106585214543
Jabbeke,51.1823049,3.0934604
Jalhay,50.5592528,5.9647526
Jemeppe-sur-Sambre,50.462994699999996,4.654598748525526
Jette,50.8759585,4.3245702
Juprelle,50.7112425,5.5265882
Jurbeke,50.5219843,3.9080503172670893
Kalmthout,51.3832723,4.4763255
Kampenhout,50.9413315,4.5495668
Kapellen,51.3324502,4.430583785863899
Kapelle-op-den-Bos,51.0131904,4.3599725
Kaprijke,51.2185075,3.6190769
Kasteelbrakel,50.68088165,4.266671041297531
Kasterlee,51.2407915,4.967812
Keerbergen,51.0037524,4.6290719
Kelmis,50.7154957,6.013341
Kinrooi,51.1449692,5.7414008
Kluisbergen,50.7782986,3.5212498
Knokke-Heist,51.3433866,3.2884738
Koekelare,51.0903321,2.9784762
Koekelberg,50.8606042,4.3315503
Koksijde,51.1187723,2.6349277
Komen-Waasten,50.7683055,3.0001175
Kontich,51.1353297,4.4454784
Kortemark,51.028529,3.0441144
Kortenaken,50.906611,5.0622937
Kortenberg,50.895358099999996,4.565683393303372
Kortessem,50.859243,5.3872669
Kortrijk,50.8276429,3.2659884
Kraainem,50.8425698,4.469203440443001
Kruibeke,51.17625475,4.298036873275151
Kruisem,50.9085536,3.5648916
Kuurne,50.8597083,3.2733290179140377
La Bruyère,50.5334801,4.8097135
La Louvière,50.4791337,4.161348292428827
La Roche-en-Ardenne,50.1602833,5.562759403213439
Laakdal,51.0802695,5.0073022
Laarne,51.029657,3.8504738
Lanaken,50.8892784,5.6513208
Landen,50.7530146,5.0813154
Langemark-Poelkapelle,50.9122567,2.9338635
Lasne,50.6860037,4.4844157
Le Roeulx,50.504794649999994,4.091488229789052
Lebbeke,51.0004013,4.1307711
Lede,50.9662645,3.9775505
Ledegem,50.8535723,3.126416
Léglise,49.8003582,5.5381496
Lendelede,50.88542005,3.231097075518136
Lennik,50.8085632,4.1648626
Lens,50.5777797,3.933181493586007
Leopoldsburg,51.1220584,5.26393943423483
Les Bons Villers,50.52042405,4.463110137558774
Lessen,50.7123036,3.8301131
Leuven,50.879202,4.7011675
Leuze-en-Hainaut,50.596846400000004,3.627730007761385
Libin,49.9809464,5.2569017
Libramont-Chevigny,49.94990995,5.437089151361523
Lichtervelde,51.0274096,3.1402247
Liedekerke,50.8711313,4.0860754
Lier,51.131069,4.5696516
Lierde,50.8064253,3.8361032273588913
Lierneux,50.2858086,5.7921558
Lievegem,51.1266908,3.5884951
Lijsem,50.711613,5.0318166
Lille,51.238218,4.8242404
Limburg,50.9977937,5.445357520264672
Linkebeek,50.7732003,4.3359991
Lint,51.1268305,4.4922187
Linter,50.8291537,5.0409717
Lobbes,50.3541758,4.23862308428191
Lochristi,51.0968867,3.8355999
Lokeren,51.1044488,3.9898689
Lommel,51.2305657,5.3076895
Londerzeel,51.0122466,4.299072941633785
Lontzen,50.680409,6.0072347
Lo-Reninge,50.9638066,2.7643391
Lubbeek,50.8821422,4.838443075812412
Luik,50.6450944,5.5736112
Lummen,50.9862157,5.1918579
Maarkedal,50.7973072,3.642779
Maaseik,51.0947181,5.791733
Maasmechelen,50.9635024,5.696445
Machelen,50.901520649999995,4.446784480895417
Maldegem,51.2088871,3.4452214
Malle,51.2970123,4.6933094
Malmedy,50.4265348,6.0276059
Manage,50.5040159,4.2355599
Manhay,50.29305,5.6761462
Marche-en-Famenne,50.2265147,5.3407365
Marchin,50.4802051,5.2263372
Martelange,49.814911699999996,5.7268150473328365
Mechelen,51.0281381,4.4803453
Meerhout,51.1317433,5.0772388
Meise,50.9623945,4.3122692413911174
Meix-devant-Virton,49.6055933,5.4816156
Melle,51.00303,3.7988833
Menen,50.7937353,3.1670444658237518
Merbes-le-Château,50.32396525,4.182231260384359
Merchtem,50.9593636,4.2335677
Merelbeke,50.9942924,3.7459119
Merksplas,51.3579924,4.8627355
Mesen,50.75962735,2.9001001626256953
Messancy,49.5949862,5.8145736
Mettet,50.3212094,4.6584949
Meulebeke,50.9498382,3.2888527
Middelkerke,51.183316950000005,2.806352008124807
Modave,50.4416137,5.3017936
Moerbeke,51.1808945,3.9454917258697035
Moeskroen,50.7436672,3.2142729
Mol,51.1840421,5.1155267
Momignies,50.0087898,4.2142084834115705
Mont-de-l'Enclus,50.7456511,3.5110542
Montigny-le-Tilleul,50.3788966,4.3793383
Mont-Saint-Guibert,50.6365628,4.6127019
Moorslede,50.8914424,3.0631252
Morlanwelz,50.4550743,4.2425425
Mortsel,51.1704119,4.4566996
Musson,49.5580794,5.705881
Namen,50.4665284,4.8661892
Nandrin,50.5162261,5.399256390627551
Nassogne,50.1287359,5.3418985
Nazareth,50.959802,3.5963218
Neufchâteau,49.840802100000005,5.43505771134108
Neupré,50.5431751,5.4901079
Niel,51.1098649,4.3303396
Nieuwerkerken,50.8653633,5.1939014
Nieuwpoort,51.1294306,2.751666
Nijlen,51.1611887,4.670951731704948
Nijvel,50.5976885,4.3235854
Ninove,50.8214549,4.0037422031066825
Oerle,50.7291681,5.3530675
Ohey,50.4359066,5.1238439
Olen,51.1438611,4.8597257
Olne,50.5901199,5.7479948
Onhaye,50.2435657,4.840864
Oostende,51.2258565,2.919496
Oosterzele,50.936144999999996,3.7941019132352833
Oostkamp,51.1532024,3.2344535
Oostrozebeke,50.9203965,3.3346877
Opwijk,50.9690529,4.1896665
Opzullik,50.64284065,3.9423457187111137
Orp-Jauche,50.7000697,4.9892189
Ottignies-Louvain-la-Neuve,50.6654216,4.5674107
Oudenaarde,50.8433705,3.6041443
Oudenburg,51.20156465,3.006323902319318
Oudergem,50.8171712,4.4270852
Oud-Heverlee,50.8376275,4.6629253
Oudsbergen,51.0680799,5.557165
Oud-Turnhout,51.3178319,4.9817086
Ouffet,50.4377341,5.4653273
Oupeye,50.7091889,5.6450671
Overijse,50.7701622,4.5351806
Paliseul,49.9035269,5.1349041
Pecq,50.687742400000005,3.3273680891650237
Peer,51.1319137,5.4546268
Pelt,51.2197672,5.4299496
Pepingen,50.7598483,4.1576993
Pepinster,50.5675217,5.8037101
Péruwelz,50.53332105,3.5636806619041073
Perwijs,50.6234469,4.8134719
Philippeville,50.13347245,4.575359782357253
Pittem,50.999983799999995,3.262254771517394
Plombières,50.7377318,5.9611134
Pont-à-Celles,50.51552395,4.3827158869125675
Poperinge,50.8556646,2.7264961
Profondeville,50.3762043,4.8675024
Putte,51.0570823,4.6310473
Puurs-Sint-Amands,51.066411,4.2812346
Quaregnon,50.43541615,3.8646286492359203
Quévy,50.36789245,3.9670740911022877
Quiévrain,50.4058844,3.6823764
Raeren,50.6761305,6.1108404
Ramillies,50.6366892,4.9148994
Ranst,51.1962373,4.563813424474654
Ravels,51.3717045,4.9955625
Rebecq,50.67355825,4.135027550319423
Remicourt,50.678492,5.319969
Rendeux,50.21436665,5.522222064587313
Retie,51.2675862,5.0843883
Riemst,50.8115825,5.5978716
Rijkevorsel,51.3503707,4.758514
Rixensart,50.7122566,4.5216218
