TX_MUNTY_DESCR_NL,MS_POPULATION
Aalst (Aalst),83347
Aalter,19987
Aarlen,28759
Aarschot,29074
Aartselaar,14207
Aat,28523
Affligem,12953
Aiseau-Presles,10863
Alken,11398
Alveringem,4952
Amay,14115
Amel,5496
Andenne,25892
Anderlecht,115178
Anderlues,11976
Anhée,7064
Ans,28285
Anthisnes,4101
Antoing,7744
Antwerpen,510610
Anzegem,14472
Ardooie,9094
Arendonk,12956
As,8020
Asse,31754
Assenede,13951
Assesse,6834
Attert,5285
Aubange,16325
Aubel,4178
Avelgem,9727
Awans,9065
Aywaille,11914
Baarle-Hertog,2618
Baelen,4300
Balen,21817
Bastenaken,15303
Beaumont,7036
Beauraing,8937
Beernem,15428
Beerse,17550
Beersel,24496
Begijnendijk,9979
Bekkevoort,6094
Beloeil,13897
Bergen,95047
Beringen,44262
Berlaar,11034
Berlare,14790
Berloz,2973
Bernissart,11797
Bertem,9773
Bertogne,3291
Bertrix,8550
Bevekom,6990
Bever,2171
Beveren (Sint-Niklaas),47192
Beyne-Heusay,11966
Bierbeek,9800
Bilzen,31460
Binche,33187
Bitsingen,8919
Bièvre,3251
Blankenberge,19879
Blégny,13159
Bocholt,12850
Boechout,12804
Bonheiden,14778
Boom,17231
Boortmeerbeek,11971
Borgloon,10561
Borgworm,14742
Bornem,20858
Borsbeek,10451
Bouillon,5413
Boussu,19703
Boutersem,7974
Braives,6097
Brakel,14476
Brasschaat,37502
Brecht,28174
Bredene,16962
Bree,15547
Brugelette,3631
Brugge,117377
Brunehaut,8069
Brussel,170407
Buggenhout,14389
Burdinne,3063
Burg-Reuland,3956
Büllingen,5521
Bütgenbach,5625
Celles (Doornik),5591
Cerfontaine,4832
Chapelle-lez-Herlaimont,14685
Charleroi,202730
Chastre,7288
Chaudfontaine,21047
Chaumont-Gistoux,11653
Chimay,9804
Chiny,5198
Chièvres,6821
Châtelet,36390
Ciney,15949
Clavier,4445
Colfontaine,20560
Comblain-au-Pont,5303
Courcelles,30735
Court-Saint-Etienne,10107
Couvin,13958
Crisnée,3135
Dalhem,7083
Damme,10845
Daverdisse,1428
De Haan,12577
De Panne,10812
De Pinte,10306
Deerlijk,11593
Deinze,29957
Denderleeuw,19318
Dendermonde,44768
Dentergem,8340
Dessel,9350
Destelbergen,17799
Diepenbeek,18666
Diest,23219
Diksmuide,16542
Dilbeek,41034
Dilsen-Stokkem,20028
Dinant,13551
Dison,15157
Doische,2927
Donceel,2997
Doornik,69842
Dour,16840
Drogenbos,5093
Duffel,17119
Durbuy,11282
Ecaussinnes,10771
Edegem,21251
Edingen,13406
Eeklo,20449
Eghezée,15649
Eigenbrakel,39535
Elsene,83332
Elzele,5969
Engis,5952
Erezée,3240
Erpe-Mere,19563
Erquelinnes,9834
Esneux,13120
Essen,18256
Estaimpuis,10098
Estinnes,7696
Etalle,5724
Etterbeek,46427
Eupen,19063
Evere,37957
Evergem,34170
Faimes,3837
Farciennes,11260
Fauvillers,2227
Fernelmont,7551
Ferrières,4811
Fexhe-le-Haut-Clocher,3233
Fleurus,22805
Floreffe,7887
Florennes,11188
Florenville,5542
Flémalle,26098
Fléron,16435
Fontaine-l’Evêque,17508
Fosses-la-Ville,10249
Frameries,21617
Frasnes-lez-Anvaing,11641
Froidchapelle,3944
Galmaarden,8557
Ganshoren,23836
Gavere,12601
Gedinne,4507
Geel,38450
Geer,3270
Geetbets,5944
Geldenaken,13593
Gembloux,24996
Genepiën,15240
Genk,65399
Gent,251133
Geraardsbergen,32995
