TX_DESCR_NL,MS_POPULATION
Aalst,90995
Aalter,29787
Aarlen,31310
Aarschot,31138
Aartselaar,14890
Aat,30048
Affligem,13651
Aiseau-Presles,10978
Alken,11918
Alveringem,5023
Amay,14531
Amel,5612
Andenne,28187
Anderlecht,126581
Anderlues,12809
Anhée,7135
Ans,28989
Anthisnes,4220
Antoing,7623
Antwerpen,544759
Anzegem,15148
Ardooie,9355
Arendonk,13391
As,8259
Asse,35755
Assenede,14650
Assesse,7325
Attert,5797
Aubange,17845
Aubel,4252
Avelgem,10406
Awans,9344
Aywaille,12880
Baarle-Hertog,3001
Baelen,4487
Balen,23523
Bastenaken,16921
Beaumont,7140
Beauraing,9490
Beernem,16259
Beerse,18601
Beersel,26505
Begijnendijk,10615
Bekkevoort,6771
Beloeil,14244
Bergen,96358
Beringen,48353
Berlaar,12061
Berlare,15486
Berloz,3344
Bernissart,11878
Bertem,10242
Bertogne,3767
Bertrix,9017
Bevekom,7233
Bever,2276
Beveren,50838
Beyne-Heusay,12018
Bierbeek,10534
Bilzen,32782
Binche,33651
Bitsingen,9028
Bièvre,3476
Blankenberge,20559
Blegny,13482
Bocholt,13753
Boechout,13831
Bonheiden,15454
Boom,19431
Boortmeerbeek,13348
Borgloon,11580
Borgworm,15489
Bornem,22076
Borsbeek,11379
Bouillon,5377
Boussu,20283
Boutersem,8634
Braives,6554
Brakel,15073
Brasschaat,38470
Brecht,30610
Bredene,18180
Bree,16967
Brugelette,3853
Brugge,119869
Brunehaut,8099
Brussel,196828
Buggenhout,14957
Burdinne,3295
Burg-Reuland,3961
Büllingen,5544
Bütgenbach,5652
Celles,5722
Cerfontaine,4991
Chapelle-lez-Herlaimont,14839
Charleroi,204322
Chastre,7728
Chaudfontaine,20600
Chaumont-Gistoux,11818
Chimay,9691
Chiny,5308
Chièvres,7168
Châtelet,35595
Ciney,17183
Clavier,4946
Colfontaine,20745
Comblain-au-Pont,5319
Courcelles,31337
Court-Saint-Etienne,10854
Couvin,13907
Crisnée,3539
Dalhem,7712
Damme,11207
Daverdisse,1426
De Haan,12718
De Panne,11021
De Pinte,11091
Deerlijk,12670
Deinze,45471
Denderleeuw,21056
Dendermonde,47185
Dentergem,8722
Dessel,9892
Destelbergen,19110
Diepenbeek,19607
Diest,24971
Diksmuide,17228
Dilbeek,44878
Dilsen-Stokkem,21346
Dinant,13328
Dison,15260
Doische,2952
Donceel,3119
Doornik,68554
Dour,16567
Drogenbos,5944
Duffel,18062
Durbuy,11506
Ecaussinnes,11572
Edegem,23009
Edingen,14509
Eeklo,22401
Eghezée,16866
Eigenbrakel,40461
Elsene,89278
Elzele,5970
Engis,6296
Erezée,3345
Erpe-Mere,21013
Erquelinnes,10039
Esneux,12827
Essen,19630
Estaimpuis,10748
Estinnes,7955
Etalle,6024
Etterbeek,49775
Eupen,20093
Evere,45234
Evergem,36860
Faimes,4128
Farciennes,11394
Fauvillers,2453
Fernelmont,8210
Ferrières,5122
Fexhe-le-Haut-Clocher,3426
Fleurus,22915
Floreffe,8082
Florennes,11378
Florenville,5787
Flémalle,27002
Fléron,16380
Fontaine-l’Evêque,18122
Fosses-la-Ville,10418
Frameries,21671
Frasnes-lez-Anvaing,12134
Froidchapelle,4084
Galmaarden,8931
Ganshoren,25564
Gavere,13311
Gedinne,4681
Geel,42331
Geer,3558
Geetbets,6261
Geldenaken,14899
Gembloux,26496
Genepiën,16068
Genk,67877
Gent,269597
Geraardsbergen,34999
Gerpinnes,12863
Gesves,7481
Gingelom,8732
Gistel,12244
Glabbeek,5425
Gooik,9527
Gouvy,5474
Graven,14064
Grimbergen,39860
Grobbendonk,11607
Grâce-Hollogne,23261
Haacht,15516
Haaltert,19402
Habay,8723
Halen,9545
Halle,42595
Ham,11338
Ham-sur-Heure-Nalinnes,13825
Hamme,25554
Hamoir,3780
Hamois,7469
Hamont-Achel,14507
Hannuit,17134
Harelbeke,29904
Hasselt,80828
Hastière,6148
Havelange,5428
Hechtel-Eksel,12965
Heers,7593
Heist-op-den-Berg,44505
Hemiksem,12396
Hensies,6816
Herbeumont,1750
Herent,23007
Herentals,28865
Herenthout,9454
Herk-de-Stad,12841
Herne,6825
Herselt,14838
Herstal,40814
Herstappe,76
Herve,17850
Herzele,18928
Heusden-Zolder,35017
Heuvelland,7969
Hoegaarden,6873
Hoei,21706
Hoeilaart,11636
Hoeselt,10080
Holsbeek,10207
Honnelles,5176
Hooglede,10235
Hoogstraten,22278
Horebeke,2012
Hotton,5706
Houffalize,5307
Houthalen-Helchteren,30896
Houthulst,10464
Houyet,5183
Hove,8406
Huldenberg,10083
Hulshout,10594
Hélécine,3848
Héron,5598
Ichtegem,14516
Ieper,35550
Incourt,5662
Ingelmunster,11537
Itter,7013
Izegem,29227
Jabbeke,14832
Jalhay,8777
Jemeppe-sur-Sambre,19225
Jette,54107
Juprelle,9733
Jurbeke,10868
Kalmthout,19672
Kampenhout,12528
Kapelle-op-den-Bos,9703
Kapellen,27782
Kaprijke,6660
Kasteelbrakel,10646
Kasterlee,19648
Keerbergen,13298
Kelmis,11352
Kinrooi,12406
Kluisbergen,6888
Knokke-Heist,32514
Koekelare,8827
Koekelberg,22648
Koksijde,21546
Komen-Waasten,18391
Kontich,21693
Kortemark,12815
Kortenaken,7949
Kortenberg,21165
Kortessem,8757
Kortrijk,80032
Kraainem,13962
Kruibeke,17072
Kruisem,15961
Kuurne,14145
La Bruyère,9351
La Louvière,81241
La Roche-en-Ardenne,4100
Laakdal,16753
Laarne,12532
Lanaken,26366
Landen,16390
Langemark-Poelkapelle,8100
Lasne,14198
Le Roeulx,8708
Lebbeke,20059
Lede,19310
Ledegem,9779
Lendelede,5881
Lennik,9471
Lens,4636
Leopoldsburg,16607
Les Bons Villers,9586
Lessen,18735
Leuven,104009
Leuze-en-Hainaut,14201
Libin,5351
Libramont-Chevigny,11972
Lichtervelde,9319
Liedekerke,14013
Lier,38210
Lierde,6874
Lierneux,3644
Lievegem,27225
Lijsem,3375
Lille,17026
Limburg,5654
Linkebeek,4674
Lint,8505
Linter,7323
Lo-Reninge,3216
Lobbes,5949
Lochristi,23028
Lokeren,43554
Lommel,34913
Londerzeel,19404
Lontzen,6058
Lubbeek,15124
Luik,195778
Lummen,15320
Léglise,5839
Maarkedal,6323
Maaseik,25823
Maasmechelen,40219
Machelen,16576
Maldegem,24744
Malle,16194
Malmedy,12950
Manage,24108
Manhay,3715
Marche-en-Famenne,17972
Marchin,5612
Martelange,2064
Mechelen,89313
Meerhout,10396
Meise,20299
Meix-devant-Virton,2819
Melle,11981
Menen,34417
Merbes-le-Château,4171
Merchtem,18029
Merelbeke,25229
Merksplas,8883
Mesen,1075
Messancy,8549
Mettet,13529
Meulebeke,11123
Middelkerke,19855
Modave,4207
Moerbeke,6758
Moeskroen,59987
Mol,38534
Momignies,5234
Mont-Saint-Guibert,8407
Mont-de-l’Enclus,3879
Montigny-le-Tilleul,10141
Moorslede,11473
Morlanwelz,19172
Mortsel,26588
Musson,4668
Namen,114142
Nandrin,5745
Nassogne,5735
Nazareth,12305
Neufchâteau,8260
Neupré,10010
Niel,10966
Nieuwerkerken,7295
Nieuwpoort,11455
Nijlen,23707
Nijvel,29070
Ninove,40363
Oerle,4028
Ohey,5226
Olen,12824
Olne,4142
Onhaye,3231
Oostende,72586
Oosterzele,14062
Oostkamp,24275
Oostrozebeke,8064
Opwijk,14866
Opzullik,8475
Orp-Jauche,9094
Ottignies-Louvain-la-Neuve,31648
Oud-Heverlee,11474
Oud-Turnhout,14828
Oudenaarde,32702
Oudenburg,9933
Oudergem,35350
Oudsbergen,23875
Ouffet,2788
Oupeye,25743
Overijse,25970
Paliseul,5530
Pecq,5966
Peer,16585
Pelt,34433
Pepingen,4592
Pepinster,9274
Perwijs,9704
Philippeville,9521
Pittem,6946
Plombières,10771
Pont-à-Celles,17650
Poperinge,19921
Profondeville,12318
Putte,18914
Puurs-Sint-Amands,26957
Péruwelz,17318
Quaregnon,18959
Quiévrain,6865
Quévy,8168
